会話ID,長単位連番,文頭フラグ,話者ラベル,書字形,語彙素読み,語彙素,品詞,活用型,活用形,語種,語彙素細分類,語形,タグ付き書字形,発音形出現形,発音,発話単位の開始時刻,発話単位の終了時刻,転記単位の開始時刻,転記単位の終了時刻,仮名,文節頭フラグ
C001_003,1,B,IC01_玲子,◇,,,形態論情報付与対象外,,,,,,(L ◇),◇,◇,0.23,0.93,0.23,0.93,0,B
C001_003,2,B,IC01_玲子,えっと,エート,えーと,感動詞-フィラー,,,和,,エット,えっと,エット,エット,0.93,1.52,0.93,1.52,0,B
C001_003,3,I,IC01_玲子,ね,ネ,ね,助詞-終助詞,,,和,,ネ,ね?。,ネ,ネ,0.93,1.52,0.93,1.52,0,I
C001_003,4,B,IC01_玲子,◇,,,形態論情報付与対象外,,,,,,(L ◇),◇,◇,1.52,1.973,1.52,1.973,0,B
C001_003,8,B,IC01_玲子,聞き,キク,聞く,動詞-一般,五段-カ行,連用形-一般,和,,キク,聞き,キキ,キキ,1.973,8.599,1.973,4.04,0,B
C001_003,9,I,IC01_玲子,たかっ,タイ,たい,助動詞,助動詞-タイ,連用形-促音便,和,,タイ,たかっ,タカッ,タカッ,1.973,8.599,1.973,4.04,0,I
C001_003,10,I,IC01_玲子,た,タ,た,助動詞,助動詞-タ,連体形-一般,和,,タ,た,タ,タ,1.973,8.599,1.973,4.04,0,I
C001_003,11,I,IC01_玲子,こと,コト,事,名詞-普通名詞-一般,,,和,,コト,こと,コト,コト,1.973,8.599,1.973,4.04,0,B
C001_003,12,I,IC01_玲子,って,ッテ,って,助詞-副助詞,,,和,,ッテ,って,ッテ,ッテ,1.973,8.599,1.973,4.04,0,I
C001_003,13,I,IC01_玲子,ゆう,イウ,言う,動詞-一般,五段-ワア行,連体形-一般,和,,ユウ,ゆう,ユー,ユー,1.973,8.599,1.973,4.04,0,B
C001_003,14,I,IC01_玲子,の,ノ,の,助詞-準体助詞,,,和,,ノ,の,ノ,ノ,1.973,8.599,1.973,4.04,0,I
C001_003,15,I,IC01_玲子,が,ガ,が,助詞-格助詞,,,和,,ガ,が:,ガ,ガー,1.973,8.599,1.973,4.04,0,I
C001_003,16,I,IC01_玲子,あの,アノ,あの,感動詞-フィラー,,,和,,アノ,(F あの:),アノ,アノー,1.973,8.599,5.023,5.759,0,B
C001_003,17,I,IC01_玲子,ン,,,言いよどみ,,,,,,(D ン),ン,ン,1.973,8.599,6.326,8.599,0,B
C001_003,18,I,IC01_玲子,なん,ナニ,何,代名詞,,,和,,ナン,なん,ナン,ナン,1.973,8.599,6.326,8.599,0,B
C001_003,19,I,IC01_玲子,か,カ,か,助詞-副助詞,,,和,,カ,か,カ,カ,1.973,8.599,6.326,8.599,0,I
C001_003,20,I,IC01_玲子,さ,サ,さ,助詞-終助詞,,,和,,サ,さ ,サ,サ,1.973,8.599,6.326,8.599,0,I
C001_003,21,I,IC01_玲子,あたし,ワタシ,私,代名詞,,,和,,アタシ,あたし,アタシ,アタシ,1.973,8.599,6.326,8.599,0,B
C001_003,22,I,IC01_玲子,さ,サ,さ,助詞-終助詞,,,和,,サ,さ ,サ,サ,1.973,8.599,6.326,8.599,0,I
C001_003,23,I,IC01_玲子,全然,ゼンゼン,全然,副詞,,,漢,,ゼンゼン,(W ゼン|全然),ゼンゼン,ゼン,1.973,8.599,6.326,8.599,0,B
C001_003,24,I,IC01_玲子,スイーツ,スイート,スイート,名詞-普通名詞-一般,,,外,sweet,スイーツ,スイーツ,スイーツ,スイーツ,1.973,8.599,6.326,8.599,0,B
C001_003,25,I,IC01_玲子,好き,スキ,好き,形状詞-一般,,,和,,スキ,好き,スキ,スキ,1.973,8.599,6.326,8.599,0,B
C001_003,26,I,IC01_玲子,じゃない,デハナイ,ではない,助動詞,形容詞,終止形-一般,和,,ジャナイ,じゃない,ジャナイ,ジャナイ,1.973,8.599,6.326,8.599,0,I
C001_003,27,I,IC01_玲子,じゃん,ジャン,じゃん,助詞-終助詞,,,和,,ジャン,じゃん。,ジャン,ジャン,1.973,8.599,6.326,8.599,0,I
C001_003,32,B,IC01_玲子,好き,スキ,好き,形状詞-一般,,,和,,スキ,好き,スキ,スキ,10.363,11.193,10.363,11.193,0,B
C001_003,33,I,IC01_玲子,じゃない,デハナイ,ではない,助動詞,形容詞,終止形-一般,和,,ジャナイ,じゃない,ジャナイ,ジャナイ,10.363,11.193,10.363,11.193,0,I
C001_003,34,I,IC01_玲子,じゃん,ジャン,じゃん,助詞-終助詞,,,和,,ジャン,じゃん。,ジャン,ジャン,10.363,11.193,10.363,11.193,0,I
C001_003,36,B,IC01_玲子,で,デ,で,接続詞,,,和,,デ,(L で:) ,デ,デー,11.193,21.382,11.193,12.975,0,B
C001_003,37,I,IC01_玲子,なん,ナニ,何,代名詞,,,和,,ナン,なん ,ナン,ナン,11.193,21.382,11.193,12.975,0,B
C001_003,38,I,IC01_玲子,ラ,,,言いよどみ,,,,,,(D ラ),ラ,ラ,11.193,21.382,11.193,12.975,0,B
C001_003,39,I,IC01_玲子,くせ,クセ,癖,名詞-普通名詞-一般,,,和,,クセ,くせ,クセ,クセ,11.193,21.382,11.193,12.975,0,B
C001_003,40,I,IC01_玲子,に,ニ,に,助詞-格助詞,,,和,,ニ,に:,ニ,ニー,11.193,21.382,11.193,12.975,0,I
C001_003,41,I,IC01_玲子,なん,ナニ,何,代名詞,,,和,,ナン,なん,ナン,ナン,11.193,21.382,13.242,13.912,0,B
C001_003,42,I,IC01_玲子,か,カ,か,助詞-副助詞,,,和,,カ,か:,カ,カー,11.193,21.382,13.242,13.912,0,I
C001_003,43,I,IC01_玲子,あーの,アノ,あの,感動詞-フィラー,,,和,,アーノ,(F あーの:),アーノ,アーノー,11.193,21.382,14.922,15.619,0,B
C001_003,44,I,IC01_玲子,いきなり,イキナリ,行成,副詞,,,和,,イキナリ,いきなり,イキナリ,イキナリ,11.193,21.382,16.913,18.113,0,B
C001_003,45,I,IC01_玲子,ね,ネ,ね,助詞-終助詞,,,和,,ネ,ね ,ネ,ネ,11.193,21.382,16.913,18.113,0,I
C001_003,46,I,IC01_玲子,その,ソノ,その,感動詞-フィラー,,,和,,ソノ,(F その:),ソノ,ソノー,11.193,21.382,16.913,18.113,0,B
C001_003,47,I,IC01_玲子,市,シ,市,名詞-普通名詞-一般,,,漢,,シ,市,シ,シ,11.193,21.382,18.769,19.096,0,B
C001_003,48,I,IC01_玲子,あーの,アノ,あの,感動詞-フィラー,,,和,,アーノ,(F あーの) ,アーノ,アーノ,11.193,21.382,19.349,21.382,0,B
C001_003,49,I,IC01_玲子,役所,ヤクショ,役所,名詞-普通名詞-一般,,,漢,,ヤクショ,役所,ヤクショ,ヤクショ,11.193,21.382,19.349,21.382,0,B
C001_003,50,I,IC01_玲子,の,ノ,の,助詞-格助詞,,,和,,ノ,の,ノ,ノ,11.193,21.382,19.349,21.382,0,I
C001_003,51,I,IC01_玲子,職員さん,ショクインサン,職員さん,名詞-普通名詞-一般,,,混,,ショクインサン,職員さん,ショクインサン,ショクインサン,11.193,21.382,19.349,21.382,0,B
C001_003,52,I,IC01_玲子,と,ト,と,助詞-格助詞,,,和,,ト,と,ト,ト,11.193,21.382,19.349,21.382,0,I
C001_003,53,I,IC01_玲子,か,カ,か,助詞-副助詞,,,和,,カ,か,カ,カ,11.193,21.382,19.349,21.382,0,I
C001_003,54,I,IC01_玲子,が,ガ,が,助詞-格助詞,,,和,,ガ,が:。,ガ,ガー,11.193,21.382,19.349,21.382,0,I
C001_003,55,B,IC01_玲子,ま,マア,まあ,副詞,,,和,,マ,(G まあ|ま) ,マ,マ,21.382,22.87,21.382,22.87,0,B
C001_003,56,I,IC01_玲子,市長さん,シチョウサン,市長さん,名詞-普通名詞-一般,,,混,,シチョウサン,市長さん,シチョーサン,シチョーサン,21.382,22.87,21.382,22.87,0,B
C001_003,57,I,IC01_玲子,と,ト,と,助詞-格助詞,,,和,,ト,と,ト,ト,21.382,22.87,21.382,22.87,0,I
C001_003,58,I,IC01_玲子,か,カ,か,助詞-副助詞,,,和,,カ,か,カ,カ,21.382,22.87,21.382,22.87,0,I
C001_003,59,I,IC01_玲子,で,デ,で,助詞-格助詞,,,和,,デ,で,デ,デ,21.382,22.87,21.382,22.87,0,I
C001_003,60,I,IC01_玲子,も,モ,も,助詞-係助詞,,,和,,モ,も,モ,モ,21.382,22.87,21.382,22.87,0,I
C001_003,61,I,IC01_玲子,い,ヨイ,良い,形容詞-一般,形容詞,連体形-省略,和,,イイ,い,イ,イ,21.382,22.87,21.382,22.87,0,B
C001_003,62,I,IC01_玲子,んだ,ノダ,のだ,助動詞,助動詞-ダ,終止形-一般,和,,ンダ,んだ,ンダ,ンダ,21.382,22.87,21.382,22.87,0,I
C001_003,63,I,IC01_玲子,けど,ケレド,けれど,助詞-接続助詞,,,和,,ケド,けど。,ケド,ケド,21.382,22.87,21.382,22.87,0,I
C001_003,65,B,IC01_玲子,なん,ナニ,何,代名詞,,,和,,ナン,なん,ナン,ナン,23.498,31.94,23.498,24.996,0,B
C001_003,66,I,IC01_玲子,か,カ,か,助詞-副助詞,,,和,,カ,か,カ,カ,23.498,31.94,23.498,24.996,0,I
C001_003,67,I,IC01_玲子,こう,コウ,こう,副詞,,,和,,コウ,こう: ,コー,コー,23.498,31.94,23.498,24.996,0,B
C001_003,68,I,IC01_玲子,外,ソト,外,名詞-普通名詞-一般,,,和,,ソト,外,ソト,ソト,23.498,31.94,23.498,24.996,0,B
C001_003,69,I,IC01_玲子,に,ニ,に,助詞-格助詞,,,和,,ニ,に,ニ,ニ,23.498,31.94,23.498,24.996,0,I
C001_003,70,I,IC01_玲子,あーの,アノ,あの,感動詞-フィラー,,,和,,アーノ,(F あーの:),アーノ,アーノー,23.498,31.94,25.691,26.435,0,B
C001_003,71,I,IC01_玲子,出張,シュッチョウ,出張,名詞-普通名詞-一般,,,漢,,シュッチョウ,出張,シュッチョー,シュッチョー,23.498,31.94,27.615,29.196,0,B
C001_003,72,I,IC01_玲子,と,ト,と,助詞-格助詞,,,和,,ト,と,ト,ト,23.498,31.94,27.615,29.196,0,I
C001_003,73,I,IC01_玲子,か,カ,か,助詞-副助詞,,,和,,カ,か,カ,カ,23.498,31.94,27.615,29.196,0,I
C001_003,74,I,IC01_玲子,に,ニ,に,助詞-格助詞,,,和,,ニ,に,ニ,ニ,23.498,31.94,27.615,29.196,0,I
C001_003,75,I,IC01_玲子,行っ,イク,行く,動詞-一般,五段-カ行,連用形-促音便,和,,イク,行っ,イッ,イッ,23.498,31.94,27.615,29.196,0,B
C001_003,76,I,IC01_玲子,た,タ,た,助動詞,助動詞-タ,連体形-一般,和,,タ,た,タ,タ,23.498,31.94,27.615,29.196,0,I
C001_003,77,I,IC01_玲子,時,トキ,時,名詞-普通名詞-一般,,,和,,トキ,時,トキ,トキ,23.498,31.94,27.615,29.196,0,B
C001_003,78,I,IC01_玲子,に,ニ,に,助詞-格助詞,,,和,,ニ,に:,ニ,ニー,23.498,31.94,27.615,29.196,0,I
C001_003,79,I,IC01_玲子,手土産,テミヤゲ,手土産,名詞-普通名詞-一般,,,和,,テミヤゲ,手土産,テミヤゲ,テミヤゲ,23.498,31.94,29.782,31.94,0,B
C001_003,80,I,IC01_玲子,として,トシテ,として,助詞-格助詞,,,和,,トシテ,として,トシテ,トシテ,23.498,31.94,29.782,31.94,0,I
C001_003,81,I,IC01_玲子,持っ,モツ,持つ,動詞-一般,五段-タ行,連用形-促音便,和,,モツ,持っ,モッ,モッ,23.498,31.94,29.782,31.94,0,B
C001_003,82,I,IC01_玲子,てける,テク,てく,助動詞,下一段-カ行,連体形-一般,和,,テケル,てける,テケル,テケル,23.498,31.94,29.782,31.94,0,I
C001_003,83,I,IC01_玲子,よう,ヨウ,様,形状詞-助動詞語幹,,,漢,,ヨウ,よう,ヨー,ヨー,23.498,31.94,29.782,31.94,0,I
C001_003,84,I,IC01_玲子,な,ダ,だ,助動詞,助動詞-ダ,連体形-一般,和,,ダ,な:。,ナ,ナー,23.498,31.94,29.782,31.94,0,I
C001_003,86,B,IC01_玲子,例えば,タトエバ,例えば,副詞,,,和,,タトエバ,例えば,タトエバ,タトエバ,31.94,33.908,31.94,33.908,0,B
C001_003,87,I,IC01_玲子,きょう,キョウ,今日,名詞-普通名詞-一般,,,和,,キョウ,きょう,キョー,キョー,31.94,33.908,31.94,33.908,0,B
C001_003,88,I,IC01_玲子,の,ノ,の,助詞-格助詞,,,和,,ノ,の ,ノ,ノ,31.94,33.908,31.94,33.908,0,I
C001_003,89,I,IC01_玲子,その,ソノ,その,感動詞-フィラー,,,和,,ソノ,(F その) ,ソノ,ソノ,31.94,33.908,31.94,33.908,0,B
C001_003,90,I,IC01_玲子,岩牡蠣スフレ,イワガキスフレ,岩牡蠣スフレ,名詞-普通名詞-一般,,,混,,イワガキスフレ,(R 岩牡蠣スフレ),イワガキスフレ,イワガキスフレ,31.94,33.908,31.94,33.908,1,B
C001_003,91,I,IC01_玲子,みたい,ミタイ,みたい,形状詞-助動詞語幹,,,和,,ミタイ,みたい,ミタイ,ミタイ,31.94,33.908,31.94,33.908,0,I
C001_003,92,I,IC01_玲子,な,ダ,だ,助動詞,助動詞-ダ,連体形-一般,和,,ダ,な,ナ,ナ,31.94,33.908,31.94,33.908,0,I
C001_003,93,I,IC01_玲子,ね,ネ,ね,助詞-終助詞,,,和,,ネ,ね。,ネ,ネ,31.94,33.908,31.94,33.908,0,I
C001_003,97,B,IC01_玲子,◇,,,形態論情報付与対象外,,,,,,(L ◇),◇,◇,34.208,35.58,34.208,35.58,0,B
C001_003,102,B,IC01_玲子,◇,,,形態論情報付与対象外,,,,,,(L ◇),◇,◇,35.923,36.43,35.923,36.43,0,B
C001_003,103,B,IC01_玲子,岩牡蠣スフレ,イワガキスフレ,岩牡蠣スフレ,名詞-普通名詞-一般,,,混,,イワガキスフレ,(L (R 岩牡蠣スフレ)),イワガキスフレ,イワガキスフレ,36.43,37.782,36.43,37.782,1,B
C001_003,104,I,IC01_玲子,みたい,ミタイ,みたい,形状詞-助動詞語幹,,,和,,ミタイ,みたい,ミタイ,ミタイ,36.43,37.782,36.43,37.782,0,I
C001_003,105,I,IC01_玲子,な,ダ,だ,助動詞,助動詞-ダ,連体形-一般,和,,ダ,な:。,ナ,ナー,36.43,37.782,36.43,37.782,0,I
C001_003,116,B,IC01_玲子,そう,ソウ,そう,副詞,,,和,,ソウ,そう ,ソー,ソー,38.213,39.378,38.213,39.378,0,B
C001_003,117,I,IC01_玲子,そう,ソウ,そう,副詞,,,和,,ソウ,そう ,ソー,ソー,38.213,39.378,38.213,39.378,0,B
C001_003,118,I,IC01_玲子,そう,ソウ,そう,副詞,,,和,,ソウ,そう ,ソー,ソー,38.213,39.378,38.213,39.378,0,B
C001_003,119,I,IC01_玲子,そう,ソウ,そう,副詞,,,和,,ソウ,そう。,ソー,ソー,38.213,39.378,38.213,39.378,0,B
C001_003,120,B,IC01_玲子,なん,ナニ,何,代名詞,,,和,,ナン,なん,ナン,ナン,39.836,42.376,39.836,42.376,0,B
C001_003,121,I,IC01_玲子,か,カ,か,助詞-副助詞,,,和,,カ,か,カ,カ,39.836,42.376,39.836,42.376,0,I
C001_003,122,I,IC01_玲子,そう,ソウ,そう,副詞,,,和,,ソウ,そう,ソー,ソー,39.836,42.376,39.836,42.376,0,B
C001_003,123,I,IC01_玲子,ゆう,イウ,言う,動詞-一般,五段-ワア行,連体形-一般,和,,ユウ,ゆう,ユー,ユー,39.836,42.376,39.836,42.376,0,B
C001_003,124,I,IC01_玲子,ね,ネ,ね,助詞-終助詞,,,和,,ネ,ね ,ネ,ネ,39.836,42.376,39.836,42.376,0,I
C001_003,125,I,IC01_玲子,手土産スイーツ,テミヤゲスイート,手土産スイート,名詞-普通名詞-一般,,,混,,テミヤゲスイーツ,手土産スイーツ?。,テミヤゲスイーツ,テミヤゲスイーツ,39.836,42.376,39.836,42.376,0,B
C001_003,127,B,IC01_玲子,を,ヲ,を,助詞-格助詞,,,和,,ヲ,を:,オ,オー,43.437,49.609,43.437,43.888,0,B
C001_003,128,I,IC01_玲子,なん,ナニ,何,代名詞,,,和,,ナン,なん,ナン,ナン,43.437,49.609,43.96,49.609,0,B
C001_003,129,I,IC01_玲子,か,カ,か,助詞-副助詞,,,和,,カ,か ,カ,カ,43.437,49.609,43.96,49.609,0,I
C001_003,130,I,IC01_玲子,その,ソノ,その,感動詞-フィラー,,,和,,ソノ,(F その:) ,ソノ,ソノー,43.437,49.609,43.96,49.609,0,B
C001_003,131,I,IC01_玲子,協力隊,キョウリョクタイ,協力隊,名詞-普通名詞-一般,,,漢,,キョウリョクタイ,協力隊,キョーリョクタイ,キョーリョクタイ,43.437,49.609,43.96,49.609,0,B
C001_003,132,I,IC01_玲子,の,ノ,の,助詞-格助詞,,,和,,ノ,の: ,ノ,ノー,43.437,49.609,43.96,49.609,0,I
C001_003,133,I,IC01_玲子,女子,ジョシ,女子,名詞-普通名詞-一般,,,漢,,ジョシ,女子,ジョシ,ジョシ,43.437,49.609,43.96,49.609,0,B
C001_003,134,I,IC01_玲子,の,ノ,の,助詞-格助詞,,,和,,ノ,の,ノ,ノ,43.437,49.609,43.96,49.609,0,I
C001_003,135,I,IC01_玲子,メンバー発信,メンバーハッシン,メンバー発信,名詞-普通名詞-一般,,,混,,メンバーハッシン,メンバー発信,メンバーハッシン,メンバーハッシン,43.437,49.609,43.96,49.609,0,B
C001_003,136,I,IC01_玲子,で,デ,で,助詞-格助詞,,,和,,デ,で:,デ,デー,43.437,49.609,43.96,49.609,0,I
C001_003,137,I,IC01_玲子,作っ,ツクル,作る,動詞-一般,五段-ラ行,連用形-促音便,和,,ツクル,作っ,ツクッ,ツクッ,43.437,49.609,43.96,49.609,0,B
C001_003,138,I,IC01_玲子,てほしい,テホシイ,てほしい,助動詞,形容詞,終止形-一般,和,,テホシイ,てほしい,テホシー,テホシー,43.437,49.609,43.96,49.609,0,I
C001_003,139,I,IC01_玲子,みたい,ミタイ,みたい,形状詞-助動詞語幹,,,和,,ミタイ,みたい,ミタイ,ミタイ,43.437,49.609,43.96,49.609,0,I
C001_003,140,I,IC01_玲子,な,ダ,だ,助動詞,助動詞-ダ,連体形-一般,和,,ダ,な,ナ,ナ,43.437,49.609,43.96,49.609,0,I
C001_003,141,I,IC01_玲子,依頼,イライ,依頼,名詞-普通名詞-一般,,,漢,,イライ,依頼,イライ,イライ,43.437,49.609,43.96,49.609,0,B
C001_003,142,I,IC01_玲子,が,ガ,が,助詞-格助詞,,,和,,ガ,が,ガ,ガ,43.437,49.609,43.96,49.609,0,I
C001_003,143,I,IC01_玲子,来,クル,来る,動詞-一般,カ行変格,連用形-一般,和,,クル,来,キ,キ,43.437,49.609,43.96,49.609,0,B
C001_003,144,I,IC01_玲子,た,タ,た,助動詞,助動詞-タ,連体形-一般,和,,タ,た,タ,タ,43.437,49.609,43.96,49.609,0,I
C001_003,145,I,IC01_玲子,の,ノ,の,助詞-準体助詞,,,和,,ノ,の,ノ,ノ,43.437,49.609,43.96,49.609,0,I
C001_003,146,I,IC01_玲子,ね,ネ,ね,助詞-終助詞,,,和,,ネ,ね。,ネ,ネ,43.437,49.609,43.96,49.609,0,I
C001_003,149,B,IC01_玲子,そ,ソウ,そう,副詞,,,和,,ソ,(G そう|そ) ,ソ,ソ,52.053,52.515,52.053,52.515,0,B
C001_003,150,I,IC01_玲子,そ,ソウ,そう,副詞,,,和,,ソ,(G そう|そ) ,ソ,ソ,52.053,52.515,52.053,52.515,0,B
C001_003,151,I,IC01_玲子,そう,ソウ,そう,副詞,,,和,,ソウ,そう。,ソー,ソー,52.053,52.515,52.053,52.515,0,B
C001_003,152,B,IC01_玲子,春日,カスガ,春日,名詞-固有名詞-地名-一般,,,固,,カスガ,(R 春日),カスガ,カスガ,52.515,55.006,52.515,55.006,1,B
C001_003,153,I,IC01_玲子,の,ノ,の,助詞-格助詞,,,和,,ノ,の,ノ,ノ,52.515,55.006,52.515,55.006,0,I
C001_003,154,I,IC01_玲子,その,ソノ,其の,連体詞,,,和,,ソノ,その,ソノ,ソノ,52.515,55.006,52.515,55.006,0,B
C001_003,155,I,IC01_玲子,食材,ショクザイ,食材,名詞-普通名詞-一般,,,漢,,ショクザイ,食材,ショクザイ,ショクザイ,52.515,55.006,52.515,55.006,0,B
C001_003,156,I,IC01_玲子,を,ヲ,を,助詞-格助詞,,,和,,ヲ,を,オ,オ,52.515,55.006,52.515,55.006,0,I
C001_003,157,I,IC01_玲子,使っ,ツカウ,使う,動詞-一般,五段-ワア行,連用形-促音便,和,,ツカウ,使っ,ツカッ,ツカッ,52.515,55.006,52.515,55.006,0,B
C001_003,158,I,IC01_玲子,て,テ,て,助詞-接続助詞,,,和,,テ,て:。,テ,テー,52.515,55.006,52.515,55.006,0,I
C001_003,163,B,IC01_玲子,そう,ソウ,そう,副詞,,,和,,ソウ,そう ,ソー,ソー,55.589,57.026,55.589,57.026,0,B
C001_003,164,I,IC01_玲子,そう,ソウ,そう,副詞,,,和,,ソウ,そう ,ソー,ソー,55.589,57.026,55.589,57.026,0,B
C001_003,165,I,IC01_玲子,そう,ソウ,そう,副詞,,,和,,ソウ,そう ,ソー,ソー,55.589,57.026,55.589,57.026,0,B
C001_003,166,I,IC01_玲子,そう,ソウ,そう,副詞,,,和,,ソウ,そう。,ソー,ソー,55.589,57.026,55.589,57.026,0,B
C001_003,167,B,IC01_玲子,な,ダ,だ,助動詞,助動詞-ダ,連体形-一般,和,,ダ,な,ナ,ナ,57.509,58.546,57.509,58.546,0,B
C001_003,168,I,IC01_玲子,んだ,ノダ,のだ,助動詞,助動詞-ダ,終止形-一般,和,,ンダ,んだ,ンダ,ンダ,57.509,58.546,57.509,58.546,0,I
C001_003,169,I,IC01_玲子,けど,ケレド,けれど,助詞-接続助詞,,,和,,ケド,けど:。,ケド,ケドー,57.509,58.546,57.509,58.546,0,I
C001_003,179,B,IC01_玲子,そ,ソウ,そう,副詞,,,和,,ソ,(G そう|そ) ,ソ,ソ,63.809,64.173,63.809,64.173,0,B
C001_003,180,I,IC01_玲子,そう,ソウ,そう,副詞,,,和,,ソウ,そう。,ソー,ソー,63.809,64.173,63.809,64.173,0,B
C001_003,181,B,IC01_玲子,で,デ,で,接続詞,,,和,,デ,で,デ,デ,64.173,66.865,64.173,66.865,0,B
C001_003,182,I,IC01_玲子,ね,ネ,ね,助詞-終助詞,,,和,,ネ,ね ,ネ,ネ,64.173,66.865,64.173,66.865,0,I
C001_003,183,I,IC01_玲子,みんな,ミナ,皆,名詞-普通名詞-一般,,,和,,ミンナ,みんな,ミンナ,ミンナ,64.173,66.865,64.173,66.865,0,B
C001_003,184,I,IC01_玲子,ね,ネ,ね,助詞-終助詞,,,和,,ネ,ね ,ネ,ネ,64.173,66.865,64.173,66.865,0,I
C001_003,185,I,IC01_玲子,絶対,ゼッタイ,絶対,名詞-普通名詞-一般,,,漢,,ゼッタイ,絶対,ゼッタイ,ゼッタイ,64.173,66.865,64.173,66.865,0,B
C001_003,186,I,IC01_玲子,に,ニ,に,助詞-格助詞,,,和,,ニ,に,ニ,ニ,64.173,66.865,64.173,66.865,0,I
C001_003,187,I,IC01_玲子,その,ソノ,其の,連体詞,,,和,,ソノ,その,ソノ,ソノ,64.173,66.865,64.173,66.865,0,B
C001_003,188,I,IC01_玲子,海産系,カイサンケイ,海産系,名詞-普通名詞-一般,,,漢,,カイサンケイ,海産系,カイサンケー,カイサンケー,64.173,66.865,64.173,66.865,0,B
C001_003,189,I,IC01_玲子,に,ニ,に,助詞-格助詞,,,和,,ニ,に,ニ,ニ,64.173,66.865,64.173,66.865,0,I
C001_003,190,I,IC01_玲子,行く,イク,行く,動詞-一般,五段-カ行,連体形-一般,和,,イク,行く,イク,イク,64.173,66.865,64.173,66.865,0,B
C001_003,191,I,IC01_玲子,んだ,ノダ,のだ,助動詞,助動詞-ダ,終止形-一般,和,,ンダ,んだ,ンダ,ンダ,64.173,66.865,64.173,66.865,0,I
C001_003,192,I,IC01_玲子,けど,ケレド,けれど,助詞-接続助詞,,,和,,ケド,けど:。,ケド,ケドー,64.173,66.865,64.173,66.865,0,I
C001_003,198,B,IC01_玲子,いや,イヤ,いや,感動詞-一般,,,和,,イヤ,いや。,イヤ,イヤ,67.188,67.382,67.188,67.382,0,B
C001_003,205,B,IC01_玲子,うん,ウン,うん,感動詞-一般,,,和,,ウン,うん。,ウン,ウン,68.169,68.686,68.169,68.686,0,B
C001_003,206,B,IC01_玲子,そう,ソウ,そう,副詞,,,和,,ソウ,そう。,ソー,ソー,69.826,70.111,69.826,70.111,0,B
C001_003,214,B,IC01_玲子,春日,カスガ,春日,名詞-固有名詞-地名-一般,,,固,,カスガ,(R 春日),カスガ,カスガ,70.111,71.682,70.111,71.682,1,B
C001_003,215,I,IC01_玲子,の,ノ,の,助詞-準体助詞,,,和,,ノ,の,ノ,ノ,70.111,71.682,70.111,71.682,0,I
C001_003,216,I,IC01_玲子,は,ハ,は,助詞-係助詞,,,和,,ハ,は:,ワ,ワー,70.111,71.682,70.111,71.682,0,I
C001_003,217,I,IC01_玲子,なん,ナニ,何,代名詞,,,和,,ナン,なん,ナン,ナン,70.111,71.682,70.111,71.682,0,B
C001_003,218,I,IC01_玲子,か,カ,か,助詞-副助詞,,,和,,カ,か,カ,カ,70.111,71.682,70.111,71.682,0,I
C001_003,219,I,IC01_玲子,ね,ネ,ね,助詞-終助詞,,,和,,ネ,ね。,ネ,ネ,70.111,71.682,70.111,71.682,0,I
C001_003,220,B,IC01_玲子,結構,ケッコウ,結構,副詞,,,漢,,ケッコ,(Y ケッコ|結構),ケッコ,ケッコ,71.822,73.694,71.822,73.694,0,B
C001_003,221,I,IC01_玲子,春日,カスガ,春日,名詞-固有名詞-地名-一般,,,固,,カスガ,(R 春日),カスガ,カスガ,71.822,73.694,71.822,73.694,1,B
C001_003,222,I,IC01_玲子,って,ッテ,って,助詞-副助詞,,,和,,ッテ,って ,ッテ,ッテ,71.822,73.694,71.822,73.694,0,I
C001_003,223,I,IC01_玲子,で,デ,で,助詞-格助詞,,,和,,デ,で,デ,デ,71.822,73.694,71.822,73.694,0,I
C001_003,224,I,IC01_玲子,も,モ,も,助詞-係助詞,,,和,,モ,も,モ,モ,71.822,73.694,71.822,73.694,0,I
C001_003,225,I,IC01_玲子,ブルーベリー,ブルーベリー,ブルーベリー,名詞-普通名詞-一般,,,外,blueberry,ブルーベリー,ブルーベリー,ブルーベリー,ブルーベリー,71.822,73.694,71.822,73.694,0,B
C001_003,226,I,IC01_玲子,も,モ,も,助詞-係助詞,,,和,,モ,も,モ,モ,71.822,73.694,71.822,73.694,0,I
C001_003,227,I,IC01_玲子,採れる,トレル,取れる,動詞-一般,下一段-ラ行,終止形-一般,和,,トレル,採れる,トレル,トレル,71.822,73.694,71.822,73.694,0,B
C001_003,228,I,IC01_玲子,し,シ,し,助詞-接続助詞,,,和,,シ,し。,シ,シ,71.822,73.694,71.822,73.694,0,I
C001_003,229,B,IC01_玲子,梨,ナシ,梨,名詞-普通名詞-一般,,,和,,ナシ,梨,ナシ,ナシ,73.694,75.379,73.694,75.379,0,B
C001_003,230,I,IC01_玲子,も,モ,も,助詞-係助詞,,,和,,モ,も,モ,モ,73.694,75.379,73.694,75.379,0,I
C001_003,231,I,IC01_玲子,特産地,トクサンチ,特産地,名詞-普通名詞-一般,,,漢,,トクサンチ,(W トサン|特産)地,トクサンチ,トサンチ,73.694,75.379,73.694,75.379,0,B
C001_003,232,I,IC01_玲子,だ,ダ,だ,助動詞,助動詞-ダ,終止形-一般,和,,ダ,だ,ダ,ダ,73.694,75.379,73.694,75.379,0,I
